model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,n
m1,0,0,58.0890242466886,3.58708967085867,3.89288007439,1.56468980283061,-116.178048493377,7.17417934171733,25
m2,-16.3979974593752,2.55041971852658,41.6910267873133,2.04353312104948,6.05249330314695,0.982844262185971,-83.3820535746266,4.08706624209896,25
m3: uncertainty,-16.4608876411578,2.52685368121803,41.6281366055307,2.18257532475314,2.34595285294324,0.626277077568588,-83.2562732110614,4.36515064950628,25
m3: 2-stage,-17.5134689137925,2.64846168056539,40.5755553328961,2.12069345270546,3.04261333035089,0.707651185089021,-81.1511106657922,4.24138690541092,25
m1,0,0,240.594188757808,6.89919832114595,3.81364243526535,0.698109117275078,-481.188377515615,13.7983966422919,100
m2,-72.4269739554992,6.50037687469444,168.167214802309,4.75939830891498,16.1639232407409,1.41944803659024,-336.334429604617,9.51879661782996,100
m3: uncertainty,-73.1067791695361,6.52961777408305,167.487409588272,4.83199659730199,2.40585039952459,0.263361584463973,-334.974819176543,9.66399319460398,100
m3: 2-stage,-74.0685965618896,6.51301144852315,166.525592195918,4.90703122373711,3.37552857350217,0.431162727138055,-333.051184391836,9.81406244747423,100
m1,0,0,2420.7185838601,23.8302258082306,4.04301543981254,0.268431037509465,-4841.4371677202,47.6604516164613,1000
m2,-779.264740443318,23.3177214103947,1641.45384341678,14.8369730793991,2.46144844896634,0.0846686463836897,-3282.90768683356,29.6739461587981,1000
m3: uncertainty,-779.768533556342,23.1364001820143,1640.95005030375,14.8457280569359,39.8989762305233,1.15840233271284,-3281.90010060751,29.6914561138718,1000
m3: 2-stage,-780.00596686602,23.1691249664691,1640.71261699408,14.8426578204626,3.43399018212742,0.117736093703722,-3281.42523398815,29.6853156409251,1000
